baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.22631602881	-5.82552878686706	0.143002867254554	-40.7371467349479	0	0
ENSMUSG00000025608.9	4401.66107588957	-8.31228266530177	0.197504349048997	-42.0865803984886	0	0
ENSMUSG00000045545.8	4088.29979250429	-9.12444143954577	0.238755792480039	-38.2166285674874	0	0
ENSMUSG00000047586.4	2408.96236911915	-7.42299751135426	0.196905475614881	-37.6982787714475	0	0
ENSMUSG00000054889.10	6835.30817812126	-4.65300668004546	0.11496385014422	-40.4736504058307	0	0
ENSMUSG00000097767.8	4106.77407374806	-6.59502514936104	0.151459947842527	-43.5430306381585	0	0
ENSMUSG00000020758.15	6336.69419572802	-4.25982725338049	0.114955957018371	-37.0561679783131	1.42872463930748e-300	4.10411357817069e-297
ENSMUSG00000030693.10	1240.47206579175	-5.46811519384661	0.148339558521396	-36.8621509215152	1.8682013020712e-297	4.69572397275596e-294
ENSMUSG00000053797.10	2357.50857283841	-7.97909195306886	0.21749466023015	-36.6863809190785	1.20418898192807e-294	2.69042578317886e-291
ENSMUSG00000024406.16	2300.56855437857	-4.48196060772735	0.123018869973396	-36.4331147627728	1.27345018098132e-290	2.56065362391724e-287
ENSMUSG00000037820.15	3906.53527277478	-4.02391064383369	0.110666140079534	-36.3608113641787	1.77314084996527e-289	3.24130147373651e-286
ENSMUSG00000047281.3	1063.70823537809	-5.25836507310129	0.149605941149996	-35.1481032951039	1.24262073792789e-270	2.08221814985449e-267
ENSMUSG00000056602.12	1176.49468242755	-5.38984177282417	0.153522287062889	-35.1078783148682	5.11096704963149e-270	7.90548657184539e-267
ENSMUSG00000027375.14	3835.54485991725	-5.76194285358341	0.164580381065588	-35.0099010360608	1.59039621450884e-268	2.28426336295312e-265
ENSMUSG00000037185.9	1422.68171410608	-4.99084016164177	0.143872085693235	-34.6894266361249	1.13730759577384e-263	1.52459874238802e-260
ENSMUSG00000026413.12	1670.21813735503	-5.50793977272453	0.16234908076019	-33.9265226937777	2.70774726952864e-252	3.40296138098012e-249
ENSMUSG00000031995.9	1272.07779943817	-6.00950983907043	0.18016661256833	-33.3552912684711	6.1051355624039e-244	7.22129799345986e-241
ENSMUSG00000019102.10	4252.13080423328	-3.75659095349306	0.117383022001939	-32.0028475108693	9.95356987961365e-225	1.11192435077373e-221
ENSMUSG00000034282.3	1267.19137061125	-6.84030019335114	0.216712038524141	-31.5640065034466	1.15198551395503e-218	1.21916445866357e-215
ENSMUSG00000074796.10	890.962147770756	-4.27569059086168	0.135830908678541	-31.4780386324336	1.73571417093678e-217	1.74508702745984e-214
ENSMUSG00000028435.8	1000.60191451766	-6.25344054368373	0.200051632841551	-31.2591327291826	1.6776544890695e-214	1.60639411743854e-211
ENSMUSG00000042793.13	993.596483876577	-4.19102809326149	0.135045498885762	-31.0341931263238	1.86445084723587e-211	1.70410807437358e-208
ENSMUSG00000049382.10	5899.38440276072	-10.8668284078715	0.354156184289143	-30.6837177774636	9.38641175441397e-207	8.20617250251113e-204
ENSMUSG00000063450.14	2006.16488735426	-3.45582237017469	0.113620637002942	-30.4154461841752	3.43243731801759e-203	2.87581039961241e-200
ENSMUSG00000022871.13	1099.8210296869	-6.65650951265319	0.22166574760912	-30.029490728496	4.04553805296449e-198	3.2539071667604e-195
ENSMUSG00000020788.15	2105.01080621481	-8.81864073473247	0.298917866260218	-29.5018857355804	2.72299010686513e-191	2.105918656494e-188
ENSMUSG00000025432.11	1237.63464000221	-6.45493145534255	0.218892631279862	-29.4890303871842	3.98023083112276e-191	2.9642400574895e-188
ENSMUSG00000061126.5	1586.36311788539	-8.12860528419933	0.276570516415298	-29.3907152127287	7.21724151303327e-190	5.18301044085975e-187
ENSMUSG00000003153.10	1022.21678895265	-4.75302721307219	0.169207924265437	-28.0898618294974	1.30289516888882e-173	9.0340055365574e-171
ENSMUSG00000060716.7	840.095139931726	-6.73486896018507	0.239870381775194	-28.0771177764538	1.86439941747805e-173	1.24964478288829e-170
